INDEX,GNM_A-B,GNM_A-G,GNM_A-R
256,256,256,256
0,0,253,0
1,78,320,74
2,156,387,147
3,233,454,221
4,311,521,294
5,389,588,368
6,467,655,441
7,545,722,515
8,623,789,588
9,700,856,662
10,778,923,735
11,856,990,809
12,934,1057,882
13,1012,1123,956
14,1089,1190,1029
15,1167,1257,1103
16,1245,1324,1176
17,1313,1382,1238
18,1379,1437,1297
19,1445,1492,1355
20,1511,1547,1414
21,1575,1600,1470
22,1638,1652,1525
23,1701,1704,1581
24,1764,1756,1636
25,1827,1808,1691
26,1890,1860,1746
27,1953,1912,1801
28,2016,1964,1856
29,2079,2016,1911
30,2142,2068,1967
31,2205,2121,2022
32,2268,2173,2077
33,2333,2230,2137
34,2401,2291,2201
35,2468,2352,2265
36,2536,2413,2329
37,2605,2478,2397
38,2675,2545,2466
39,2746,2612,2536
40,2816,2679,2606
41,2886,2746,2676
42,2957,2812,2746
43,3027,2879,2816
44,3098,2946,2885
45,3168,3013,2955
46,3238,3080,3025
47,3309,3147,3095
48,3379,3214,3165
49,3448,3281,3235
50,3514,3348,3307
51,3580,3415,3378
52,3646,3482,3449
53,3709,3549,3521
54,3768,3616,3595
55,3828,3683,3668
56,3887,3750,3742
57,3946,3817,3815
58,4005,3884,3889
59,4065,3951,3962
60,4124,4018,4036
61,4183,4085,4109
62,4243,4152,4183
63,4302,4219,4256
64,4361,4286,4330
65,4421,4353,4403
66,4481,4420,4474
67,4541,4487,4546
68,4601,4554,4617
69,4661,4620,4687
70,4724,4687,4749
71,4787,4754,4812
72,4850,4821,4874
73,4913,4888,4937
74,4976,4955,4999
75,5039,5022,5061
76,5102,5089,5124
77,5165,5156,5186
78,5228,5223,5249
79,5291,5290,5311
80,5354,5357,5374
81,5417,5424,5436
82,5480,5491,5499
83,5543,5558,5561
84,5606,5625,5624
85,5669,5692,5686
86,5721,5740,5730
87,5773,5789,5775
88,5825,5837,5819
89,5877,5885,5863
90,5929,5934,5907
91,5980,5982,5951
92,6032,6030,5995
93,6084,6079,6039
94,6136,6127,6083
95,6188,6176,6127
96,6240,6224,6172
97,6292,6272,6216
98,6344,6321,6260
99,6395,6369,6304
100,6447,6417,6348
101,6499,6466,6392
102,6563,6533,6455
103,6630,6605,6523
104,6696,6678,6591
105,6763,6750,6658
106,6833,6827,6730
107,6903,6905,6804
108,6973,6983,6877
109,7044,7061,6951
110,7114,7139,7024
111,7185,7217,7098
112,7255,7295,7171
113,7326,7373,7245
114,7396,7452,7318
115,7466,7530,7392
116,7537,7608,7465
117,7607,7686,7539
118,7675,7760,7608
119,7741,7831,7675
120,7807,7903,7742
121,7873,7974,7809
122,7937,8043,7873
123,8000,8110,7936
124,8063,8177,7998
125,8126,8244,8061
126,8189,8311,8123
127,8252,8378,8186
128,8315,8445,8248
129,8378,8512,8311
130,8441,8579,8373
131,8504,8646,8436
132,8567,8713,8498
133,8630,8780,8561
134,8693,8847,8623
135,8758,8916,8686
136,8822,8984,8748
137,8887,9053,8811
138,8952,9122,8873
139,9019,9193,8936
140,9086,9263,8998
141,9152,9334,9061
142,9219,9405,9123
143,9286,9475,9186
144,9352,9546,9248
145,9419,9617,9311
146,9486,9687,9373
147,9552,9758,9436
148,9619,9829,9498
149,9686,9899,9561
150,9752,9969,9622
151,9816,10037,9682
152,9879,10105,9741
153,9943,10173,9801
154,10004,10238,9858
155,10056,10294,9906
156,10108,10350,9954
157,10160,10405,10002
158,10212,10461,10049
159,10264,10517,10097
160,10316,10573,10145
161,10368,10629,10193
162,10419,10684,10241
163,10471,10740,10288
164,10523,10796,10336
165,10575,10852,10384
166,10627,10908,10432
167,10679,10963,10479
168,10731,11019,10527
169,10783,11075,10575
170,10834,11131,10623
171,10905,11198,10693
172,10975,11265,10762
173,11046,11332,10832
174,11116,11399,10902
175,11186,11466,10972
176,11257,11533,11042
177,11327,11600,11112
178,11398,11666,11182
179,11468,11733,11251
180,11538,11800,11321
181,11609,11867,11391
182,11679,11934,11461
183,11750,12001,11531
184,11820,12068,11601
185,11890,12135,11670
186,11961,12202,11740
187,12027,12264,11805
188,12091,12325,11869
189,12155,12386,11933
190,12220,12447,11997
191,12283,12507,12060
192,12346,12567,12123
193,12409,12626,12185
194,12472,12686,12247
195,12535,12745,12310
196,12598,12805,12372
197,12661,12864,12435
198,12724,12924,12497
199,12787,12983,12560
200,12850,13043,12622
201,12913,13102,12685
202,12976,13162,12747
203,13039,13219,12804
204,13102,13274,12858
205,13165,13329,12912
206,13228,13384,12965
207,13291,13437,13016
208,13354,13489,13064
209,13417,13541,13111
210,13480,13594,13159
211,13543,13646,13207
212,13606,13698,13255
213,13669,13750,13302
214,13732,13802,13350
215,13795,13854,13398
216,13858,13906,13446
217,13921,13958,13494
218,13984,14010,13541
219,14046,14063,13590
220,14108,14116,13639
221,14169,14170,13688
222,14231,14224,13738
223,14292,14278,13788
224,14351,14334,13839
225,14410,14390,13891
226,14469,14445,13942
227,14529,14501,13993
228,14588,14557,14045
229,14647,14613,14096
230,14707,14669,14148
231,14766,14724,14199
232,14825,14780,14251
233,14884,14836,14302
234,14944,14892,14354
235,15003,14947,14406
236,15060,15002,14459
237,15118,15056,14513
238,15176,15110,14567
239,15233,15163,14622
240,15285,15212,14684
241,15336,15260,14747
242,15388,15309,14809
243,15440,15357,14872
244,15492,15405,14934
245,15544,15454,14997
246,15596,15502,15059
247,15648,15550,15122
248,15700,15599,15184
249,15751,15647,15247
250,15803,15695,15309
251,15855,15744,15372
252,15907,15792,15434
253,15959,15841,15497
254,16011,15889,15559
255,16063,15937,15622
